movieId,tmdbId,title_x,genres,director,top_cast
1,862,Toy Story (1995),Adventure Animation Children Comedy Fantasy,,
10,710,GoldenEye (1995),Action Adventure Thriller,,
11,9087,"American President, The (1995)",Comedy Drama Romance,,
14,10858,Nixon (1995),Drama,,
15,1408,Cutthroat Island (1995),Action Adventure Romance,,
16,524,Casino (1995),Crime Drama,,
17,4584,Sense and Sensibility (1995),Drama Romance,,
18,5,Four Rooms (1995),Comedy,,
19,9273,Ace Ventura: When Nature Calls (1995),Comedy,,
20,11517,Money Train (1995),Action Comedy Crime Drama Thriller,,
21,8012,Get Shorty (1995),Comedy Crime Thriller,,
22,1710,Copycat (1995),Crime Drama Horror Mystery Thriller,,
23,9691,Assassins (1995),Action Crime Thriller,,
25,451,Leaving Las Vegas (1995),Drama Romance,,
34,9598,Babe (1995),Children Drama,,
36,687,Dead Man Walking (1995),Crime Drama,,
39,9603,Clueless (1995),Comedy Romance,,
41,31174,Richard III (1995),Drama War,,
44,9312,Mortal Kombat (1995),Action Adventure Fantasy,,
45,577,To Die For (1995),Comedy Drama Thriller,,
47,807,Seven (a.k.a. Se7en) (1995),Mystery Thriller,,
48,10530,Pocahontas (1995),Animation Children Drama Musical Romance,,
50,629,"Usual Suspects, The (1995)",Crime Mystery Thriller,,
57,9089,Home for the Holidays (1995),Drama,,
60,11359,"Indian in the Cupboard, The (1995)",Adventure Children Fantasy,,
61,17182,Eye for an Eye (1996),Drama Thriller,,
62,2054,Mr. Holland's Opus (1995),Drama,,
69,10634,Friday (1995),Comedy,,
70,755,From Dusk Till Dawn (1996),Action Comedy Horror Thriller,,
79,9623,"Juror, The (1996)",Drama Thriller,,
81,400,Things to Do in Denver When You're Dead (1995),Crime Drama Romance,,
86,10534,White Squall (1996),Action Adventure Drama,,
92,9095,Mary Reilly (1996),Drama Horror Thriller,,
93,12158,Vampire in Brooklyn (1995),Comedy Horror Romance,,
95,9208,Broken Arrow (1996),Action Adventure Thriller,,
100,11062,City Hall (1996),Drama Thriller,,
101,13685,Bottle Rocket (1996),Adventure Comedy Crime Romance,,
104,9614,Happy Gilmore (1996),Comedy,,
105,688,"Bridges of Madison County, The (1995)",Drama Romance,,
110,197,Braveheart (1995),Action Drama War,,
111,103,Taxi Driver (1976),Crime Drama Thriller,,
112,33542,Rumble in the Bronx (Hont faan kui) (1995),Action Adventure Comedy Crime,,
122,11066,Boomerang (1992),Comedy Romance,,
125,2074,Flirting With Disaster (1996),Comedy,,
132,11863,Jade (1995),Thriller,,
140,9302,Up Close and Personal (1996),Drama Romance,,
144,16388,"Brothers McMullen, The (1995)",Comedy,,
145,9737,Bad Boys (1995),Action Comedy Crime Drama Thriller,,
150,568,Apollo 13 (1995),Adventure Drama IMAX,,
151,11780,Rob Roy (1995),Action Drama Romance War,,
153,414,Batman Forever (1995),Action Adventure Comedy Crime,,
158,8839,Casper (1995),Adventure Children,,
160,10329,Congo (1995),Action Adventure Mystery Sci-Fi,,
161,8963,Crimson Tide (1995),Drama Thriller War,,
163,8068,Desperado (1995),Action Romance Western,,
165,1572,Die Hard: With a Vengeance (1995),Action Crime Thriller,,
168,6520,First Knight (1995),Action Drama Romance,,
170,10428,Hackers (1995),Action Adventure Crime Thriller,,
175,9344,Kids (1995),Drama,,
180,2293,Mallrats (1995),Comedy Romance,,
185,1642,"Net, The (1995)",Action Crime Thriller,,
188,11980,"Prophecy, The (1995)",Fantasy Horror Mystery,,
191,10533,"Scarlet Letter, The (1995)",Drama Romance,,
193,10802,Showgirls (1995),Drama,,
196,9348,Species (1995),Horror Sci-Fi,,
204,3512,Under Siege 2: Dark Territory (1995),Action,,
208,9804,Waterworld (1995),Action Adventure Sci-Fi,,
215,76,Before Sunrise (1995),Drama Romance,,
223,2292,Clerks (1994),Comedy,,
224,1909,Don Juan DeMarco (1995),Comedy Drama Romance,,
225,8984,Disclosure (1994),Drama Thriller,,
231,8467,Dumb & Dumber (Dumb and Dumber) (1994),Adventure Comedy,,
233,20156,Exotica (1994),Drama,,
235,522,Ed Wood (1994),Comedy Drama,,
246,14275,Hoop Dreams (1994),Documentary,,
247,1024,Heavenly Creatures (1994),Crime Drama,,
253,628,Interview with the Vampire: The Vampire Chronicles (1994),Drama Horror,,
254,87729,Jefferson in Paris (1995),Drama,,
255,18713,"Jerky Boys, The (1995)",Comedy,,
259,6071,Kiss of Death (1995),Crime Drama Thriller,,
260,11,Star Wars: Episode IV - A New Hope (1977),Action Adventure Sci-Fi,,
261,9587,Little Women (1994),Drama,,
266,4476,Legends of the Fall (1994),Drama Romance War Western,,
292,6950,Outbreak (1995),Action Drama Sci-Fi Thriller,,
